class_index,class_name,fpr,tpr,threshold,roc_auc
0,Tomato_Bacterial_spot,0.0,0.0,,0.6015873015873016
0,Tomato_Bacterial_spot,0.014285714285714285,0.0,0.9526237908950078,0.6015873015873016
0,Tomato_Bacterial_spot,0.02857142857142857,0.0,0.44066627903163147,0.6015873015873016
0,Tomato_Bacterial_spot,0.02857142857142857,0.1111111111111111,0.06534288708074588,0.6015873015873016
0,Tomato_Bacterial_spot,0.05714285714285714,0.1111111111111111,0.007923998663321172,0.6015873015873016
0,Tomato_Bacterial_spot,0.05714285714285714,0.2222222222222222,0.005684998451872889,0.6015873015873016
0,Tomato_Bacterial_spot,0.07142857142857142,0.2222222222222222,0.005186120095917686,0.6015873015873016
0,Tomato_Bacterial_spot,0.07142857142857142,0.3333333333333333,0.003259534119431496,0.6015873015873016
0,Tomato_Bacterial_spot,0.22857142857142856,0.3333333333333333,0.00027223420352368824,0.6015873015873016
0,Tomato_Bacterial_spot,0.22857142857142856,0.4444444444444444,0.00018838232761360005,0.6015873015873016
0,Tomato_Bacterial_spot,0.5,0.4444444444444444,1.4921013891585283e-05,0.6015873015873016
0,Tomato_Bacterial_spot,0.5,0.5555555555555556,1.2185317926868033e-05,0.6015873015873016
0,Tomato_Bacterial_spot,0.6428571428571429,0.5555555555555556,1.3959574133185789e-06,0.6015873015873016
0,Tomato_Bacterial_spot,0.6428571428571429,0.7777777777777778,1.315292552900474e-06,0.6015873015873016
0,Tomato_Bacterial_spot,0.6714285714285714,0.7777777777777778,1.1816618808308278e-06,0.6015873015873016
0,Tomato_Bacterial_spot,0.6714285714285714,0.8888888888888888,9.92720432414953e-07,0.6015873015873016
0,Tomato_Bacterial_spot,0.7428571428571429,0.8888888888888888,4.962140359293479e-07,0.6015873015873016
0,Tomato_Bacterial_spot,0.7428571428571429,1.0,4.6360795159327716e-07,0.6015873015873016
0,Tomato_Bacterial_spot,1.0,1.0,7.09170085957451e-08,0.6015873015873016
1,Tomato_Early_blight,0.0,0.0,,0.7936507936507936
1,Tomato_Early_blight,0.0,0.1111111111111111,0.9999989443448523,0.7936507936507936
1,Tomato_Early_blight,0.0,0.3333333333333333,0.999997420526932,0.7936507936507936
1,Tomato_Early_blight,0.07142857142857142,0.3333333333333333,0.9999232491480858,0.7936507936507936
1,Tomato_Early_blight,0.07142857142857142,0.5555555555555556,0.9937462891042669,0.7936507936507936
1,Tomato_Early_blight,0.08571428571428572,0.5555555555555556,0.9889936016074922,0.7936507936507936
1,Tomato_Early_blight,0.08571428571428572,0.6666666666666666,0.9661944866932608,0.7936507936507936
1,Tomato_Early_blight,0.37142857142857144,0.6666666666666666,0.0020863418214198777,0.7936507936507936
1,Tomato_Early_blight,0.37142857142857144,0.7777777777777778,0.0020515467920817943,0.7936507936507936
1,Tomato_Early_blight,0.44285714285714284,0.7777777777777778,0.0004183901514761923,0.7936507936507936
1,Tomato_Early_blight,0.44285714285714284,0.8888888888888888,0.00034788707017741966,0.7936507936507936
