epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,next_learning_rate,optimizer_updates,amp_skipped_updates,amp_scale,peak_cuda_memory_mb,epoch_time_seconds,best_checkpoint
1,0.40244742561388186,88.0346459505313,0.10156320750414619,96.91538140892038,0.0001,0.0001,349,1,32768.0,944.0,70.12894199999937,True
2,0.046279689905659095,98.5266541655505,0.06057462040287384,98.16590245935807,0.0001,0.0001,349,1,16384.0,944.0,58.37123540000175,True
3,0.023412560952453275,99.24993302973479,0.06767177894836475,97.91579824927052,0.0001,0.0001,350,0,16384.0,944.0,59.22007410000151,False
4,0.013012968426167297,99.55353156531834,0.04337661675785013,98.49937473947477,0.0001,0.0001,350,0,16384.0,944.0,58.64329359999829,True
5,0.010593110349031631,99.69640146441647,0.03824994364297907,98.79116298457691,0.0001,0.0001,350,0,16384.0,944.0,58.4042214000001,True
6,0.012152918098972254,99.63389588356102,0.03149167663507434,98.91621508962068,0.0001,0.0001,349,1,8192.0,944.0,57.93435900000259,True
7,0.010865921792839095,99.6785427270292,0.03816230926179671,99.29137140475198,0.0001,0.0001,350,0,8192.0,944.0,57.80745449999813,False
8,0.006574131001370147,99.83034199482097,0.03891593925951143,99.33305543976657,0.0001,0.0001,350,0,8192.0,944.0,58.732214899999235,False
9,0.003272954837925883,99.8928475756764,0.05090519093933531,98.62442684451855,0.0001,5e-05,350,0,8192.0,944.0,58.4826221000003,False
10,0.004103075383936022,99.88391820698277,0.029493176127131857,99.45810754481033,5e-05,5e-05,350,0,8192.0,944.0,58.45063899999877,True
11,0.002692156768778941,99.93749441914457,0.029998942184767594,99.6248436848687,5e-05,5e-05,350,0,16384.0,944.0,57.96265119999953,False
12,0.0008594717593248595,99.98214126261273,0.02674290407394534,99.49979157982493,5e-05,5e-05,350,0,16384.0,944.0,58.84385370000018,True
13,0.002784301908845595,99.9196356817573,0.0214303898880909,99.66652771988328,5e-05,5e-05,350,0,16384.0,944.0,60.07965980000154,True
14,0.001940790431553862,99.95535315653183,0.04741892455865458,98.62442684451855,5e-05,5e-05,350,0,16384.0,944.0,58.177197299999534,False
15,0.0011955173497370853,99.9464237878382,0.0406209928088012,98.8328470195915,5e-05,5e-05,350,0,16384.0,944.0,58.337517600000865,False
16,0.0017708825984173982,99.90177694437004,0.06052011542143365,98.8328470195915,5e-05,2.5e-05,350,0,16384.0,944.0,58.628513499999826,False
17,0.0003188574928313112,99.99107063130637,0.059956361870807356,98.74947894956232,2.5e-05,2.5e-05,350,0,32768.0,944.0,57.987168499999825,False
18,0.0016509783524506544,99.95535315653183,0.046872501424969834,98.8328470195915,2.5e-05,2.5e-05,349,1,16384.0,944.0,58.107642800001486,False
19,0.001055786062302417,99.9732118939191,0.03971310917066007,98.95789912463526,2.5e-05,1.25e-05,350,0,16384.0,944.0,58.15701500000068,False
20,0.00020481813314801725,100.0,0.02715605281203289,99.2080033347228,1.25e-05,1.25e-05,350,0,16384.0,944.0,58.41152069999953,False
