degradation_rank,class_index,class_name,internal_support,internal_tp,internal_fn,internal_fp,internal_tn,internal_precision,internal_recall,internal_specificity,internal_f1,external_support,external_tp,external_fn,external_fp,external_tn,external_precision,external_recall,external_specificity,external_f1,precision_drop_pp,recall_drop_pp,f1_drop_pp,specificity_drop_pp,f1_retention_percent
1,0,Tomato_Bacterial_spot,319,319,0,0,1619,1.0,1.0,1.0,1.0,9,0,9,2,68,0.0,0.0,0.9714285714285714,0.0,100.0,100.0,100.0,2.857142857142858,0.0
2,8,Tomato__Tomato_mosaic_virus,56,56,0,0,1882,1.0,1.0,1.0,1.0,10,0,10,0,69,0.0,0.0,1.0,0.0,100.0,100.0,100.0,0.0,0.0
3,3,Tomato_Leaf_Mold,143,143,0,0,1795,1.0,1.0,1.0,1.0,6,1,5,5,68,0.1666666666666666,0.1666666666666666,0.9315068493150684,0.1666666666666666,83.33333333333334,83.33333333333334,83.33333333333334,6.849315068493156,16.666666666666664
4,9,Tomato_healthy,238,238,0,0,1700,1.0,1.0,1.0,1.0,8,1,7,0,71,1.0,0.125,1.0,0.2222222222222222,0.0,87.5,77.77777777777779,0.0,22.22222222222222
5,2,Tomato_Late_blight,285,285,0,1,1652,0.9965034965034965,1.0,0.999395039322444,0.9982486865148862,10,8,2,25,44,0.2424242424242424,0.8,0.6376811594202898,0.372093023255814,75.4079254079254,20.0,62.61556632590721,36.17138799021542,37.27458180334558
6,4,Tomato_Septoria_leaf_spot,266,266,0,0,1672,1.0,1.0,1.0,1.0,12,6,6,7,60,0.4615384615384615,0.5,0.8955223880597015,0.48,53.84615384615385,50.0,52.0,10.447761194029848,48.00000000000001
7,1,Tomato_Early_blight,150,149,1,0,1788,1.0,0.9933333333333332,1.0,0.9966555183946488,9,6,3,9,61,0.4,0.6666666666666666,0.8714285714285714,0.5,60.0,32.666666666666664,49.66555183946488,12.857142857142856,50.16778523489933
8,7,Tomato__Tomato_YellowLeaf__Curl_Virus,481,481,0,0,1457,1.0,1.0,1.0,1.0,15,8,7,1,63,0.8888888888888888,0.5333333333333333,0.984375,0.6666666666666667,11.111111111111116,46.66666666666666,33.33333333333333,1.5625,66.66666666666667
