selection_role,unique_cases,correct_cases,incorrect_cases,mean_confidence,mean_primary_cam_area_ge_050,mean_primary_cam_area_ge_075,mean_primary_cam_spatial_entropy
internal_representative_correct,8,8,0,0.999998912307606,0.12801438934948975,0.03302624760841831,0.9133623293606932
internal_all_incorrect,1,0,1,0.9998940833150056,0.0748565051020408,0.0300342793367346,0.9050198105854496
internal_relative_lowest_confidence,3,3,0,0.8651703558637726,0.05587000425170063,0.014050542091836668,0.9189581150827718
external_representative_correct,6,6,0,0.9843374292055765,0.10688376913265302,0.033688084608843503,0.9110255592410783
external_representative_incorrect,8,0,8,0.9828365817666054,0.08660265864158156,0.031135403380102,0.8996464279095497
external_high_confidence_correct,5,5,0,0.9999984979629517,0.09279336734693874,0.02742346938775504,0.9328359982572814
external_high_confidence_incorrect,5,0,5,0.9999931335449219,0.05394212372448974,0.01217315051020404,0.9097034776227624
external_low_confidence,5,0,5,0.49971083998680116,0.121532206632653,0.035546874999999964,0.9114403370490326
