class_index,class_name,support,true_positive,false_negative,false_positive,true_negative,precision,recall,specificity,f1,roc_auc_ovr,pr_auc_ovr
0,Tomato_Bacterial_spot,9,0,9,2,68,0.0,0.0,0.9714285714285714,0.0,0.6015873015873016,0.21243607101852038
1,Tomato_Early_blight,9,6,3,9,61,0.4,0.6666666666666666,0.8714285714285714,0.5,0.7936507936507936,0.5553397220063886
2,Tomato_Late_blight,10,8,2,25,44,0.24242424242424243,0.8,0.6376811594202898,0.372093023255814,0.8028985507246377,0.6599133823014419
3,Tomato_Leaf_Mold,6,1,5,5,68,0.16666666666666666,0.16666666666666666,0.9315068493150684,0.16666666666666666,0.589041095890411,0.1825753952726693
4,Tomato_Septoria_leaf_spot,12,6,6,7,60,0.46153846153846156,0.5,0.8955223880597015,0.48000000000000004,0.8134328358208955,0.599314522868813
7,Tomato__Tomato_YellowLeaf__Curl_Virus,15,8,7,1,63,0.8888888888888888,0.5333333333333333,0.984375,0.6666666666666667,0.8927083333333333,0.8036992511992511
8,Tomato__Tomato_mosaic_virus,10,0,10,0,69,,0.0,1.0,0.0,0.8405797101449275,0.32624603174603173
9,Tomato_healthy,8,1,7,0,71,1.0,0.125,1.0,0.2222222222222222,0.7623239436619718,0.3980090742590743
