metric,internal_shared8,external,external_minus_internal
Accuracy,0.999484004127967,0.379746835443038,-0.619737168684929
Mean Confidence,0.9997179105909206,0.9283489989964812,-0.07136891159443948
Median Confidence,0.9999991093604822,0.9970752090948077,-0.0029239002656744617
Confidence-Accuracy Gap,0.00023390646295362583,0.5486021635534432,0.5483682570904895
10-bin ECE,0.0005576699213705131,0.5486021635534432,0.5480444936320726
Multiclass Brier Score,0.001101484702427755,1.1402325803555102,1.1391310956530825
Negative Log Loss,0.005038265308224618,5.455558002714474,5.450519737406249
Mean Normalized Entropy,0.00041451777486509135,0.08397643643625831,0.08356191866139322
