disease_alignment_shift,n,mean_weighted_overlap,median_weighted_overlap,mean_cosine_similarity,mean_center_distance,mean_peak_distance
WORSE_TRUE_TARGET,3,0.20444720293753046,0.2791846366474583,0.20519949621202263,0.20792025091466512,0.27377295708640104
UNCHANGED,7,0.28603785235649465,0.2962985336144421,0.3370228795052311,0.18790391215154376,0.4430547011347002
IMPROVED_TRUE_TARGET,5,0.30096604931990867,0.221061679080113,0.33103671120488964,0.14865459415238297,0.339054021515783
NOT_COMPARABLE,3,0.27053870246968864,0.3430005780228334,0.3114171272645666,0.20310528151986929,0.35326048269056787
