epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,next_learning_rate,optimizer_updates,amp_skipped_updates,amp_scale,peak_cuda_memory_mb,epoch_time_seconds,best_checkpoint
1,0.24288682839044415,93.34762032324313,0.03796239284820437,98.8328470195915,0.0001,0.0001,347,3,8192.0,1556.0,122.66511410000385,True
2,0.025716338064811783,99.30350924189659,0.0242711983406645,99.29137140475198,0.0001,0.0001,350,0,8192.0,1556.0,114.81776679999894,True
3,0.015028392292471344,99.55353156531834,0.05614643272833251,98.99958315964984,0.0001,0.0001,349,1,4096.0,1556.0,115.4031204999992,False
4,0.00996773687257782,99.7053308331101,0.054650609669174746,98.87453105460608,0.0001,0.0001,350,0,4096.0,1556.0,115.16098250000505,False
5,0.01191897942174916,99.6517546209483,0.031516963613675154,99.24968736973739,0.0001,5e-05,350,0,4096.0,1556.0,114.94709879999573,False
6,0.0017409288667121475,99.95535315653183,0.009930921525143665,99.6248436848687,5e-05,5e-05,350,0,4096.0,1556.0,115.0908735999983,True
7,0.0008550330415673781,99.95535315653183,0.015892501620762868,99.45810754481033,5e-05,5e-05,350,0,4096.0,1556.0,114.91826339999534,False
8,0.0021956009953797108,99.95535315653183,0.01414258676849264,99.5831596498541,5e-05,5e-05,350,0,4096.0,1556.0,114.45354409999709,False
9,0.001411363720649277,99.95535315653183,0.017913607072214028,99.54147561483951,5e-05,2.5e-05,350,0,8192.0,1556.0,115.17339300000458,False
10,0.0002808383090417624,99.99107063130637,0.009842531389869355,99.66652771988328,2.5e-05,2.5e-05,350,0,8192.0,1556.0,116.32934150000074,True
11,4.668641978204518e-05,100.0,0.006640054822811692,99.83326385994164,2.5e-05,2.5e-05,350,0,8192.0,1556.0,115.11041560000012,True
12,9.64538871589359e-05,100.0,0.007322702272678063,99.74989578991247,2.5e-05,2.5e-05,350,0,8192.0,1556.0,115.75892380000005,False
13,3.2225999781991845e-05,100.0,0.008075786163629115,99.83326385994164,2.5e-05,2.5e-05,350,0,8192.0,1556.0,115.51071850000153,False
14,0.00022447886280921878,99.99107063130637,0.017590425619735176,99.54147561483951,2.5e-05,1.25e-05,350,0,8192.0,1556.0,115.37859190000017,False
15,2.770388123173809e-05,100.0,0.009136225542161978,99.66652771988328,1.25e-05,1.25e-05,350,0,16384.0,1556.0,115.43882270000177,False
16,1.9483230339152323e-05,100.0,0.0070556600971382255,99.70821175489787,1.25e-05,1.25e-05,350,0,16384.0,1556.0,115.93750429999636,False
17,3.914692985418895e-05,100.0,0.010367051071304312,99.74989578991247,1.25e-05,6.25e-06,350,0,16384.0,1556.0,114.886599999998,False
18,2.4152074565898027e-05,100.0,0.009277420572659938,99.79157982492706,6.25e-06,6.25e-06,350,0,16384.0,1556.0,115.59234319999814,False
