model,input_size,micro_batch_size,gradient_accumulation_steps,effective_batch_size,amp_overflow_count,final_amp_scale,peak_allocated_mb,peak_reserved_mb,peak_reserved_fraction,optimizer_fused
ResNet50,224,32,1,32,0,65536.0,1535.146484375,1900.0,0.3092699601204525,True
MobileNet,224,32,1,32,0,65536.0,761.91650390625,936.0,0.15235614877512818,True
EfficientNet-B0,224,32,1,32,0,65536.0,1431.02294921875,1606.0,0.26141450313339304,True
ConvNeXt-Tiny,224,16,2,32,0,65536.0,1138.51220703125,1272.0,0.20704809961748188,True
VGG16,224,16,2,32,0,65536.0,2079.43310546875,2954.0,0.480833401155693,True
InceptionNet,299,16,2,32,0,65536.0,984.68896484375,1224.0,0.19923496378285993,True
