model,micro_batch_size,gradient_accumulation_steps,effective_batch_size,success,oom,numerical_failure,input_size,raw_loss,gradient_norm_before_clip,amp_recovery_attempts,amp_overflow_count,initial_amp_scale,final_amp_scale,peak_allocated_mb,peak_reserved_mb,peak_reserved_fraction,within_safety_limit,optimizer_fused,post_cleanup_allocated_mb
ResNet50,32,1,32,True,False,False,224,2.29811429977417,3.459674596786499,1,0,65536.0,65536.0,1535.146484375,1900.0,0.3092699601204525,True,True,200.4609375
MobileNet,32,1,32,True,False,False,224,2.28788423538208,3.2693488597869873,1,0,65536.0,65536.0,761.91650390625,936.0,0.15235614877512818,True,True,48.4794921875
EfficientNet-B0,32,1,32,True,False,False,224,2.3842506408691406,4.0901594161987305,1,0,65536.0,65536.0,1431.02294921875,1606.0,0.26141450313339304,True,True,47.37109375
ConvNeXt-Tiny,16,2,32,True,False,False,224,2.34794545173645,5.237076282501221,1,0,65536.0,65536.0,1138.51220703125,1272.0,0.20704809961748188,True,True,230.12939453125
VGG16,16,2,32,True,False,False,224,2.53658390045166,9.44465160369873,1,0,65536.0,65536.0,2079.43310546875,2954.0,0.480833401155693,True,True,1044.02294921875
InceptionNet,16,2,32,True,False,False,299,2.24202561378479,5.553840160369873,1,0,65536.0,65536.0,984.68896484375,1224.0,0.19923496378285993,True,True,187.38818359375
